Beta,mu_EI,mu_IR,mu_RS,rho,eta,k,N,loglik,loglik.se,Np,nfilt
2.995235476914625,7.508329611067248,2.620879994875108,0.04761477216778423,0.01650501409903258,0.00192142787868528,4,52900000,-6149.207675919446,0.00743849729940688,2000,10
2.7471888694218713,12.652757792352334,2.4933251997699712,0.05517797366373227,0.01729417751896096,0.00195782387485696,4,52900000,-6251.915993773938,0.00395830312428794,2000,10
2.7471888694218713,12.652757792352334,2.4933251997699712,0.05517797366373227,0.01729417751896096,0.00195782387485696,4,52900000,-6251.915993773938,0.00395830312428794,2000,10
2.563247547577219,7.03582699617662,2.2518093464568314,0.05515729702592621,0.01650276167009949,0.00185838639495463,4,52900000,-6254.040410001995,0.00470662211631407,2000,10
2.563247547577219,7.03582699617662,2.2518093464568314,0.05515729702592621,0.01650276167009949,0.00185838639495463,4,52900000,-6254.040410001995,0.00470662211631407,2000,10
2.8648262874292816,13.697305296513171,2.551160174586,0.05488225674799914,0.0164780961476671,0.00187560493294259,4,52900000,-6271.000506596796,0.00376723228577066,2000,10
2.8648262874292816,13.697305296513171,2.551160174586,0.05488225674799914,0.0164780961476671,0.00187560493294259,4,52900000,-6271.000506596796,0.00376723228577066,2000,10
3.3954421015490293,6.513950498537721,3.0079699748894755,0.06047170645373311,0.01374345163029782,0.00204729257017157,4,52900000,-6287.832670741864,0.00354675692486961,2000,10
2.713145125545283,13.877102996152336,2.366364650636376,0.06174824893572261,0.01457969595271224,0.00180181394157491,4,52900000,-6300.699710580667,0.00423328272613287,2000,10
2.7757818901575693,29.676358434117105,2.427945465409671,0.06017122807679984,0.01494942376469806,0.00174699055576869,4,52900000,-6304.688134665106,0.0045078961368116,2000,10
2.7757818901575693,29.676358434117105,2.427945465409671,0.06017122807679984,0.01494942376469806,0.00174699055576869,4,52900000,-6304.688134665106,0.0045078961368116,2000,10
2.723053600235108,15.642507438131595,2.2534456740067244,0.06133117928723795,0.01321989599006766,0.00196644936677997,4,52900000,-6314.733091678768,0.00330706687050924,2000,10
2.723053600235108,15.642507438131595,2.2534456740067244,0.06133117928723795,0.01321989599006766,0.00196644936677997,4,52900000,-6314.733091678768,0.00330706687050924,2000,10
7.942144840864903,6.20626696762752,23.24114071706386,0.0985675075696528,0.01579695639265846,0.00178283381240858,4,52900000,-6317.048931430905,0.00370008599681415,2000,10
2.9577025143212192,6.13005606019877,2.7360458205807605,0.06503122337983741,0.01569775401247053,0.00179842284004337,4,52900000,-6333.888576578901,0.00275097811792041,2000,10
2.9577025143212192,6.13005606019877,2.7360458205807605,0.06503122337983741,0.01569775401247053,0.00179842284004337,4,52900000,-6333.888576578901,0.00275097811792041,2000,10
3.700827914829816,4.839507253102601,3.372449080595195,0.0648968845202326,0.01345629698767412,0.00210073713660713,4,52900000,-6344.231978825394,0.00502745544957349,2000,10
2.7024434392100956,17.35197415242677,2.4268629071865995,0.07031895302261577,0.01435771822412471,0.00152149844047834,4,52900000,-6357.731826836817,0.00227324222288924,2000,10
2.2038559881081814,33.16896201711932,1.9253775181619837,0.06544485212090234,0.01574543694225279,0.00201334480126241,4,52900000,-6358.255380858362,0.00465624678032293,2000,10
2.420540576349876,7.178655114701589,2.0422512020253247,0.07083348985416864,0.01296141522748511,0.0019535417340696,4,52900000,-6363.260358592187,0.00234321147430375,2000,10
2.8081442505225027,23.404951892531244,2.5943717288204677,0.07054426847538817,0.01515567381052252,0.00166502127736925,4,52900000,-6363.776689058393,0.00426729971370379,2000,10
2.8081442505225027,23.404951892531244,2.5943717288204677,0.07054426847538817,0.01515567381052252,0.00166502127736925,4,52900000,-6363.776689058393,0.00426729971370379,2000,10
3.9708061075187895,19.422383824206367,4.431167057612802,0.05044626782854635,0.02143279635269365,5.677081253824887e-4,5,52900000,-6367.8748963810485,0.01582128935250514,2000,10
2.4412892161919775,40.37535697851341,2.062837088059509,0.06990326802283468,0.01314618314391442,0.00166324908677477,4,52900000,-6370.190660820492,0.00279646098496917,2000,10
2.4412892161919775,40.37535697851341,2.062837088059509,0.06990326802283468,0.01314618314391442,0.00166324908677477,4,52900000,-6370.190660820492,0.00279646098496917,2000,10
4.7881145899212605,5.304081209302735,5.41451967698064,0.08007507971270149,0.01455262916379354,0.00223048895543498,4,52900000,-6389.633472014269,0.00302181009677249,2000,10
4.7881145899212605,5.304081209302735,5.41451967698064,0.08007507971270149,0.01455262916379354,0.00223048895543498,4,52900000,-6389.633472014269,0.00302181009677249,2000,10
8.796695927395076,4.454491062035115,34.719657940774894,0.04038128934156994,0.023467951822044506,5.371563784748344e-4,5,52900000,-6392.714555085328,0.03688926316620021,2000,10
2.9467732100943227,8.67395026615352,2.5489623587389483,0.07140350785894187,0.01279942582118439,0.00178194551737082,4,52900000,-6398.689900887361,0.00272454803555611,2000,10
2.9467732100943227,8.67395026615352,2.5489623587389483,0.07140350785894187,0.01279942582118439,0.00178194551737082,4,52900000,-6398.689900887361,0.00272454803555611,2000,10
1.5,1.75,1.4,0.05,0.033,0.00189035916824196,4,52900000,-6399.809689967924,0.0066579327487324,NA,NA
2.8839520271337693,55.89254558721017,2.7498901940012326,0.07668377430810312,0.01551049127727876,0.00171736368851338,4,52900000,-6410.350861052431,0.00203008325651165,2000,10
3.0608587158128095,8.944955308259292,2.7332852446172127,0.07063838054127962,0.01372556677373727,0.00201751410321625,4,52900000,-6411.576075834066,0.00346088478609887,2000,10
7.529700019950313,4.765987490402701,15.962696532330417,0.05581267049399117,0.02108524973289449,5.768150687626012e-4,5,52900000,-6443.900024376549,0.013965897084613422,2000,10
5.860677502456694,4.966204532749784,7.535140359599803,0.07939144988890189,0.01527566259545917,0.00167722177061218,4,52900000,-6450.342944635697,0.00295587191097327,2000,10
2.434035272861018,43.35254657763605,2.1910724335824776,0.07818625682391078,0.01477228009155369,0.00203493583936453,4,52900000,-6463.595683993151,0.00292452579643738,2000,10
2.434035272861018,43.35254657763605,2.1910724335824776,0.07818625682391078,0.01477228009155369,0.00203493583936453,4,52900000,-6463.595683993151,0.00292452579643738,2000,10
2.4570851897261523,17.113838666829636,2.205536547632535,0.08582536880688274,0.01361767833486363,0.00192445571249546,4,52900000,-6491.106158902405,0.00256880244054638,2000,10
2.4570851897261523,17.113838666829636,2.205536547632535,0.08582536880688274,0.01361767833486363,0.00192445571249546,4,52900000,-6491.106158902405,0.00256880244054638,2000,10
