"","x"
"1",0.48
"2",0.48
"3",0.48
"4",0.48
"5",0.48
"6",0.48
"7",0.48
"8",0.48
"9",0.48
"10",0.48
"11",0.48
"12",0.48
"13",0.48
"14",0.48
"15",0.48
"16",0.48
"17",0.48
"18",0.48
"19",0.48
"20",0.48
"21",0.48
"22",0.48
"23",0.48
"24",0.48
"25",0.48
"26",0.48
"27",0.48
"28",0.48
"29",0.48
"30",0.48
"31",0.48
"32",0.48
"33",0.48
"34",0.48
"35",0.48
"36",0.48
"37",0.48
"38",0.48
"39",0.48
"40",0.48
"41",0.48
"42",0.48
"43",0.48
"44",0.48
"45",0.48
"46",0.48
"47",0.48
"48",0.48
"49",0.48
"50",0.48
"51",0.48
"52",0.48
"53",0.4
"54",0.4
"55",0.4
"56",0.4
"57",0.4
"58",0.4
"59",0.4
"60",0.4
"61",0.4
"62",0.4
"63",0.4
"64",0.4
"65",0.4
"66",0.4
"67",0.4
"68",0.4
"69",0.4
"70",0.4
"71",0.4
"72",0.4
"73",0.4
"74",0.4
"75",0.4
"76",0.4
"77",0.4
"78",0.4
"79",0.4
"80",0.4
"81",0.4
"82",0.4
"83",0.4
"84",0.4
"85",0.4
"86",0.4
"87",0.4
"88",0.4
"89",0.4
"90",0.4
"91",0.4
"92",0.4
"93",0.4
"94",0.4
"95",0.4
"96",0.4
"97",0.4
"98",0.4
"99",0.4
"100",0.4
"101",0.4
"102",0.4
"103",0.4
"104",0.4
"105",0.38
"106",0.38
"107",0.38
"108",0.38
"109",0.38
"110",0.38
"111",0.38
"112",0.38
"113",0.38
"114",0.38
"115",0.38
"116",0.38
"117",0.38
"118",0.38
"119",0.38
"120",0.38
"121",0.38
"122",0.38
"123",0.38
"124",0.38
"125",0.38
"126",0.38
"127",0.38
"128",0.38
"129",0.38
"130",0.38
"131",0.38
"132",0.38
"133",0.38
"134",0.38
"135",0.38
"136",0.38
"137",0.38
"138",0.38
"139",0.38
"140",0.38
"141",0.38
"142",0.38
"143",0.38
"144",0.38
"145",0.38
"146",0.38
"147",0.38
"148",0.38
"149",0.38
"150",0.38
