"","X","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho","eta","N","mu_RS","loglik","loglik.se"
"1",355,1.72368488333055,228.697333228007,0.0013133338074364,1.6929526027008,2.44235111925172,0.480720934284155,5.60308862602227,0.0127784239426165,0.627052413827874,0.130820603942345,34530000,0.005,-1273.20581745077,0.00566302611150495
"2",11,1.63340474842085,96.619402234285,0.00121975367882938,1.65580766375695,2.47986932998059,0.483447382568191,7.7215615049137,0.0139856657441526,0.58456682280883,0.137911136938315,34530000,0.005,-1273.38173293067,0.00394111163451792
"3",315,1.54472291936049,91.5365791498477,0.000124706444765142,1.63579413746375,2.47646098972784,0.481662521012149,6.79174587277772,0.0138726975568941,0.581416925884886,0.150259173279051,34530000,0.005,-1273.42979918868,0.00482356444109334
"4",233,1.4751879489597,356.389274442766,0.000524459740102407,1.63998878524922,2.46702550733318,0.486023539329059,9.22295646144094,0.0138477890296601,0.575939346952003,0.158068648940216,34530000,0.005,-1273.4624222892,0.00451333586989291
"5",740,1.72819297674997,491.524490439946,0.000926478997799918,1.67601041291678,2.42028473647269,0.482663058874982,5.84558612305918,0.0145690747058028,0.574344384644957,0.129316938413833,34530000,0.005,-1273.43186809256,0.00383317555853023
"6",371,1.39357503534871,1743.71491951433,0.000241896928662999,1.63714851885053,2.45600163388157,0.479795025635472,9.79214134683337,0.0134609063225461,0.574668833004752,0.171225477705997,34530000,0.005,-1273.4880104347,0.00336428436707133
"7",756,1.40949431204962,268.883843882948,0.00201062040030535,1.63605170575593,2.50652976532318,0.480474160275226,43.8674019083173,0.0133981591574157,0.582246961976846,0.164947224541067,34530000,0.005,-1273.42452627548,0.00568692230677142
"8",632,1.64379507731108,1154.47143442779,0.00105890585701002,1.63250267143371,2.46545428666962,0.482692469564311,7.90653856079981,0.0154541710934917,0.549114067828253,0.136073592061993,34530000,0.005,-1273.58288920915,0.00412903826754404
"9",714,1.54100781571109,119.30460056189,0.00157732988107762,1.61079542853789,2.46521289985395,0.481382551807995,6.5858053829877,0.0153524499191236,0.540084752631641,0.15096814417412,34530000,0.005,-1273.67109837446,0.00437116999601981
"10",87,1.57217731418756,675.980338713808,0.00282976225306722,1.67876782627989,2.43750663349877,0.473216876955034,4.32201488679513,0.0123684202487599,0.621212033740369,0.153049991325334,34530000,0.005,-1273.27797490483,0.00351322731908314
"11",152,1.38529168741552,68.8757169152448,0.00144718639207555,1.6153713962579,2.53570443187319,0.484508866397931,5.17425647389114,0.0131845586701554,0.582913004641487,0.178559246491572,34530000,0.005,-1273.49988874488,0.00429401004823709
