"FlightDate","n_dep_delay","n_arr_delay","n_delay"
2019-01-01,7106,6891,13997
2019-01-02,9041,9132,18173
2019-01-03,7337,7066,14403
2019-01-04,5901,5635,11536
2019-01-05,5409,5153,10562
2019-01-06,7042,6844,13886
2019-01-07,5761,5822,11583
2019-01-08,4104,4071,8175
2019-01-09,3935,4444,8379
2019-01-10,5085,5456,10541
2019-01-11,5442,5977,11419
2019-01-12,3955,4291,8246
2019-01-13,5404,5397,10801
2019-01-14,5292,5874,11166
2019-01-15,4749,5614,10363
2019-01-16,4522,5338,9860
2019-01-17,6692,7672,14364
2019-01-18,7370,8007,15377
2019-01-19,4638,4914,9552
2019-01-20,5633,5880,11513
2019-01-21,8257,8411,16668
2019-01-22,6421,6536,12957
2019-01-23,7201,7924,15125
2019-01-24,8484,9401,17885
2019-01-25,7346,7752,15098
2019-01-26,3830,4152,7982
2019-01-27,5888,6573,12461
2019-01-28,5556,5527,11083
2019-01-29,4566,4854,9420
2019-01-30,5604,5791,11395
2019-01-31,7024,6795,13819
2019-02-01,8017,7995,16012
2019-02-02,4375,4166,8541
2019-02-03,3738,3610,7348
2019-02-04,5979,5704,11683
2019-02-05,4338,4663,9001
2019-02-06,5705,6566,12271
2019-02-07,7614,8003,15617
2019-02-08,7563,7801,15364
2019-02-09,4304,4136,8440
2019-02-10,7141,7754,14895
2019-02-11,7717,8209,15926
2019-02-12,7454,8296,15750
2019-02-13,7623,8244,15867
2019-02-14,7747,7787,15534
2019-02-15,7747,8097,15844
2019-02-16,4888,5077,9965
2019-02-17,6387,7143,13530
2019-02-18,9097,9486,18583
2019-02-19,7943,8747,16690
2019-02-20,9440,10308,19748
2019-02-21,9215,9263,18478
2019-02-22,9152,9555,18707
2019-02-23,6020,6204,12224
2019-02-24,7119,7184,14303
2019-02-25,8165,7912,16077
2019-02-26,6357,6898,13255
2019-02-27,6642,7103,13745
2019-02-28,8843,8783,17626
2019-03-01,9011,9332,18343
2019-03-02,6936,7486,14422
2019-03-03,8462,9392,17854
2019-03-04,8422,8551,16973
2019-03-05,6700,7460,14160
2019-03-06,6536,7124,13660
2019-03-07,7271,7333,14604
2019-03-08,7655,8150,15805
2019-03-09,7919,8466,16385
2019-03-10,9477,9330,18807
2019-03-11,6635,6532,13167
2019-03-12,6318,6979,13297
2019-03-13,6702,6566,13268
2019-03-14,8523,8049,16572
2019-03-15,8723,8446,17169
2019-03-16,6052,5386,11438
2019-03-17,5990,5326,11316
2019-03-18,5311,4660,9971
2019-03-19,4736,4222,8958
2019-03-20,5251,5123,10374
2019-03-21,6557,6528,13085
2019-03-22,7385,7227,14612
2019-03-23,4953,4377,9330
2019-03-24,5779,4951,10730
2019-03-25,6459,6206,12665
2019-03-26,5480,5134,10614
2019-03-27,5430,5313,10743
2019-03-28,5740,5220,10960
2019-03-29,5627,5372,10999
2019-03-30,4481,4200,8681
2019-03-31,6404,6102,12506
2019-04-01,9735,8884,18619
2019-04-02,4807,4678,9485
2019-04-03,4883,4760,9643
2019-04-04,6661,6933,13594
2019-04-05,6457,6298,12755
2019-04-06,4849,4734,9583
2019-04-07,7235,7296,14531
2019-04-08,7602,7621,15223
2019-04-09,6388,6984,13372
2019-04-10,6130,6285,12415
2019-04-11,6856,6983,13839
2019-04-12,8635,9150,17785
2019-04-13,5720,5920,11640
2019-04-14,9291,9866,19157
2019-04-15,9473,8580,18053
2019-04-16,5364,4721,10085
2019-04-17,5213,5113,10326
2019-04-18,8305,8367,16672
2019-04-19,9137,9800,18937
2019-04-20,5406,5083,10489
2019-04-21,4877,4351,9228
2019-04-22,6581,6285,12866
2019-04-23,4964,4734,9698
2019-04-24,5549,5403,10952
2019-04-25,5555,5290,10845
2019-04-26,7635,7601,15236
2019-04-27,4754,4309,9063
2019-04-28,5975,5446,11421
2019-04-29,7809,7625,15434
2019-04-30,6246,6679,12925
2019-05-01,6127,6059,12186
2019-05-02,9399,10005,19404
2019-05-03,8843,9149,17992
2019-05-04,5375,5212,10587
2019-05-05,7579,7348,14927
2019-05-06,6874,6648,13522
2019-05-07,5858,6259,12117
2019-05-08,7767,7988,15755
2019-05-09,8304,8672,16976
2019-05-10,8199,8050,16249
2019-05-11,5788,5651,11439
2019-05-12,6991,7042,14033
2019-05-13,7818,7699,15517
2019-05-14,5587,5023,10610
2019-05-15,5705,5284,10989
2019-05-16,7932,7815,15747
2019-05-17,7832,7581,15413
2019-05-18,6232,6418,12650
2019-05-19,9403,9177,18580
2019-05-20,8553,8369,16922
2019-05-21,8518,8524,17042
2019-05-22,6708,6489,13197
2019-05-23,9706,10162,19868
2019-05-24,8642,8242,16884
2019-05-25,4060,3659,7719
2019-05-26,4008,4140,8148
2019-05-27,5633,5334,10967
2019-05-28,7626,7642,15268
2019-05-29,7762,8005,15767
2019-05-30,8269,8269,16538
2019-05-31,7050,6828,13878
2019-06-01,5647,5497,11144
2019-06-02,7736,7456,15192
2019-06-03,6742,6479,13221
2019-06-04,5598,5691,11289
2019-06-05,7954,8634,16588
2019-06-06,7688,7668,15356
2019-06-07,7844,8090,15934
2019-06-08,7125,6976,14101
2019-06-09,9692,9158,18850
2019-06-10,10243,10104,20347
2019-06-11,8675,8267,16942
2019-06-12,8383,8727,17110
2019-06-13,9795,10326,20121
2019-06-14,7778,7560,15338
2019-06-15,7136,7275,14411
2019-06-16,9338,9540,18878
2019-06-17,10180,9964,20144
2019-06-18,9647,9847,19494
2019-06-19,10180,10625,20805
2019-06-20,10599,10889,21488
2019-06-21,9964,9772,19736
2019-06-22,7613,7416,15029
2019-06-23,9204,9073,18277
2019-06-24,9755,9823,19578
2019-06-25,9861,9471,19332
2019-06-26,8075,8132,16207
2019-06-27,8395,8420,16815
2019-06-28,8291,8291,16582
2019-06-29,7820,7810,15630
2019-06-30,8754,8272,17026
2019-07-01,6862,6149,13011
2019-07-02,6548,6629,13177
2019-07-03,6785,6570,13355
2019-07-04,4351,4239,8590
2019-07-05,5821,6061,11882
2019-07-06,7157,7174,14331
2019-07-07,9889,9367,19256
2019-07-08,10083,10033,20116
2019-07-09,7473,6515,13988
2019-07-10,6822,6455,13277
2019-07-11,8953,8945,17898
2019-07-12,9067,8225,17292
2019-07-13,5986,5483,11469
2019-07-14,7043,6837,13880
2019-07-15,7483,7267,14750
2019-07-16,7607,7754,15361
2019-07-17,8469,8864,17333
2019-07-18,10725,10401,21126
2019-07-19,9654,8842,18496
2019-07-20,8522,7842,16364
2019-07-21,9783,9612,19395
2019-07-22,8424,8331,16755
2019-07-23,8943,8899,17842
2019-07-24,7648,7565,15213
2019-07-25,6414,5849,12263
2019-07-26,6657,6111,12768
2019-07-27,5257,4486,9743
2019-07-28,6423,5632,12055
2019-07-29,7895,7982,15877
2019-07-30,7884,7983,15867
2019-07-31,8105,7960,16065
2019-08-01,10305,10338,20643
2019-08-02,9832,9574,19406
2019-08-03,7072,6494,13566
2019-08-04,8337,8119,16456
2019-08-05,7133,7081,14214
2019-08-06,7825,8143,15968
2019-08-07,8357,8892,17249
2019-08-08,10004,9994,19998
2019-08-09,8178,7585,15763
2019-08-10,5935,5128,11063
2019-08-11,7156,6502,13658
2019-08-12,6681,6246,12927
2019-08-13,7750,8215,15965
2019-08-14,8617,9280,17897
2019-08-15,8399,8691,17090
2019-08-16,8396,8350,16746
2019-08-17,7173,7081,14254
2019-08-18,8624,8335,16959
2019-08-19,8723,8222,16945
2019-08-20,8534,8830,17364
2019-08-21,7867,7950,15817
2019-08-22,8292,8557,16849
2019-08-23,8187,8667,16854
2019-08-24,4291,3896,8187
2019-08-25,5493,5126,10619
2019-08-26,6416,6408,12824
2019-08-27,6119,6113,12232
2019-08-28,5763,5966,11729
2019-08-29,6475,5953,12428
2019-08-30,6393,6021,12414
2019-08-31,4294,3437,7731
2019-09-01,3373,2971,6344
2019-09-02,4967,4941,9908
2019-09-03,5324,4693,10017
2019-09-04,4418,4524,8942
2019-09-05,4221,4314,8535
2019-09-06,4836,5010,9846
2019-09-07,3028,2623,5651
2019-09-08,5251,4884,10135
2019-09-09,5671,5945,11616
2019-09-10,5285,5756,11041
2019-09-11,5639,6476,12115
2019-09-12,8277,8761,17038
2019-09-13,7574,7805,15379
2019-09-14,3717,3391,7108
2019-09-15,6055,5622,11677
2019-09-16,5713,5635,11348
2019-09-17,5219,5412,10631
2019-09-18,6041,6429,12470
2019-09-19,7100,7192,14292
2019-09-20,7034,6914,13948
2019-09-21,3832,3771,7603
2019-09-22,5347,5365,10712
2019-09-23,5899,6251,12150
2019-09-24,4250,4313,8563
2019-09-25,4216,4048,8264
2019-09-26,6258,6356,12614
2019-09-27,6203,6223,12426
2019-09-28,4953,4882,9835
2019-09-29,5928,6082,12010
2019-09-30,6006,6037,12043
2019-10-01,4487,4819,9306
2019-10-02,4732,5136,9868
2019-10-03,6033,6055,12088
2019-10-04,6187,6136,12323
2019-10-05,3790,3783,7573
2019-10-06,5753,5658,11411
2019-10-07,5950,6037,11987
2019-10-08,4680,4949,9629
2019-10-09,5857,6221,12078
2019-10-10,8252,8673,16925
2019-10-11,9862,9792,19654
2019-10-12,4280,3773,8053
2019-10-13,6019,5915,11934
2019-10-14,5652,5324,10976
2019-10-15,5682,5853,11535
2019-10-16,7299,7932,15231
2019-10-17,7230,6939,14169
2019-10-18,6614,6047,12661
2019-10-19,4666,4474,9140
2019-10-20,7703,8053,15756
2019-10-21,9269,9442,18711
2019-10-22,6588,7065,13653
2019-10-23,5276,5550,10826
2019-10-24,6640,7271,13911
2019-10-25,8247,8496,16743
