PERMNO,date,COMNAM,PRC
12305,2019-01-02,VANGUARD INDEX FUNDS,229.99001
12305,2019-01-03,VANGUARD INDEX FUNDS,224.50000
12305,2019-01-04,VANGUARD INDEX FUNDS,231.91000
12305,2019-01-07,VANGUARD INDEX FUNDS,233.64999
12305,2019-01-08,VANGUARD INDEX FUNDS,235.92000
12305,2019-01-09,VANGUARD INDEX FUNDS,237.00999
12305,2019-01-10,VANGUARD INDEX FUNDS,238.00000
12305,2019-01-11,VANGUARD INDEX FUNDS,237.89000
12305,2019-01-14,VANGUARD INDEX FUNDS,236.58000
12305,2019-01-15,VANGUARD INDEX FUNDS,239.35001
12305,2019-01-16,VANGUARD INDEX FUNDS,239.88000
12305,2019-01-17,VANGUARD INDEX FUNDS,241.67000
12305,2019-01-18,VANGUARD INDEX FUNDS,244.92000
12305,2019-01-22,VANGUARD INDEX FUNDS,241.66000
12305,2019-01-23,VANGUARD INDEX FUNDS,242.02000
12305,2019-01-24,VANGUARD INDEX FUNDS,242.25999
12305,2019-01-25,VANGUARD INDEX FUNDS,244.32001
12305,2019-01-28,VANGUARD INDEX FUNDS,242.42999
12305,2019-01-29,VANGUARD INDEX FUNDS,242.13000
12305,2019-01-30,VANGUARD INDEX FUNDS,245.96001
12305,2019-01-31,VANGUARD INDEX FUNDS,248.00999
12305,2019-02-01,VANGUARD INDEX FUNDS,248.22000
12305,2019-02-04,VANGUARD INDEX FUNDS,249.99001
12305,2019-02-05,VANGUARD INDEX FUNDS,251.10001
12305,2019-02-06,VANGUARD INDEX FUNDS,250.78999
12305,2019-02-07,VANGUARD INDEX FUNDS,248.33000
12305,2019-02-08,VANGUARD INDEX FUNDS,248.64999
12305,2019-02-11,VANGUARD INDEX FUNDS,248.78000
12305,2019-02-12,VANGUARD INDEX FUNDS,252.00000
12305,2019-02-13,VANGUARD INDEX FUNDS,252.75999
12305,2019-02-14,VANGUARD INDEX FUNDS,252.20000
12305,2019-02-15,VANGUARD INDEX FUNDS,254.98000
12305,2019-02-19,VANGUARD INDEX FUNDS,255.42000
12305,2019-02-20,VANGUARD INDEX FUNDS,256.01001
12305,2019-02-21,VANGUARD INDEX FUNDS,255.08000
12305,2019-02-22,VANGUARD INDEX FUNDS,256.60999
12305,2019-02-25,VANGUARD INDEX FUNDS,256.98999
12305,2019-02-26,VANGUARD INDEX FUNDS,256.79999
12305,2019-02-27,VANGUARD INDEX FUNDS,256.67001
12305,2019-02-28,VANGUARD INDEX FUNDS,256.07001
12305,2019-03-01,VANGUARD INDEX FUNDS,257.82999
12305,2019-03-04,VANGUARD INDEX FUNDS,256.84000
